station,valid,lon,lat,elevation,p01i
AUS,12:53:00 AM,-97.6699,30.1945,189,0
AUS,1:53:00 AM,-97.6699,30.1945,189,0
AUS,2:53:00 AM,-97.6699,30.1945,189,0
AUS,3:53:00 AM,-97.6699,30.1945,189,0
AUS,4:53:00 AM,-97.6699,30.1945,189,0
AUS,5:53:00 AM,-97.6699,30.1945,189,0.28
AUS,6:53:00 AM,-97.6699,30.1945,189,1.18
AUS,7:53:00 AM,-97.6699,30.1945,189,0.66
AUS,8:53:00 AM,-97.6699,30.1945,189,0.4
AUS,9:53:00 AM,-97.6699,30.1945,189,0.21
AUS,10:53:00 AM,-97.6699,30.1945,189,0.32
AUS,11:53:00 AM,-97.6699,30.1945,189,0.01
AUS,12:53:00 PM,-97.6699,30.1945,189,0.01
AUS,1:53:00 PM,-97.6699,30.1945,189,0
AUS,2:53:00 PM,-97.6699,30.1945,189,0
AUS,3:53:00 PM,-97.6699,30.1945,189,0
AUS,4:53:00 PM,-97.6699,30.1945,189,0
AUS,5:53:00 PM,-97.6699,30.1945,189,0
AUS,6:53:00 PM,-97.6699,30.1945,189,0
AUS,7:53:00 PM,-97.6699,30.1945,189,0
AUS,8:53:00 PM,-97.6699,30.1945,189,0
AUS,9:53:00 PM,-97.6699,30.1945,189,0
AUS,10:53:00 PM,-97.6699,30.1945,189,0
AUS,11:53:00 PM,-97.6699,30.1945,189,0
