station,valid,lon,lat,elevation,p01i
EDC,12:55:00 AM,-97.5621,30.3925,187.5,0
EDC,1:55:00 AM,-97.5621,30.3925,187.5,0
EDC,2:55:00 AM,-97.5621,30.3925,187.5,0
EDC,3:55:00 AM,-97.5621,30.3925,187.5,0.02
EDC,4:55:00 AM,-97.5621,30.3925,187.5,0
EDC,5:55:00 AM,-97.5621,30.3925,187.5,0.19
EDC,6:55:00 AM,-97.5621,30.3925,187.5,0.66
EDC,7:55:00 AM,-97.5621,30.3925,187.5,0.14
EDC,8:55:00 AM,-97.5621,30.3925,187.5,0.07
EDC,9:55:00 AM,-97.5621,30.3925,187.5,0.15
EDC,10:55:00 AM,-97.5621,30.3925,187.5,0.01
EDC,11:55:00 AM,-97.5621,30.3925,187.5,0
EDC,12:55:00 PM,-97.5621,30.3925,187.5,0
EDC,1:55:00 PM,-97.5621,30.3925,187.5,0
EDC,2:55:00 PM,-97.5621,30.3925,187.5,0
EDC,3:55:00 PM,-97.5621,30.3925,187.5,0.01
EDC,4:55:00 PM,-97.5621,30.3925,187.5,0
EDC,5:55:00 PM,-97.5621,30.3925,187.5,0
EDC,6:55:00 PM,-97.5621,30.3925,187.5,0
EDC,7:55:00 PM,-97.5621,30.3925,187.5,0
EDC,8:55:00 PM,-97.5621,30.3925,187.5,0
EDC,9:55:00 PM,-97.5621,30.3925,187.5,0
EDC,10:55:00 PM,-97.5621,30.3925,187.5,0
EDC,11:55:00 PM,-97.5621,30.3925,187.5,0
