station,valid,lon,lat,elevation,p01i
DZB,12:55:00AM,-98.3588,30.5271,333,0
DZB,1:55:00AM,-98.3588,30.5271,333,0
DZB,2:55:00AM,-98.3588,30.5271,333,0
DZB,3:55:00AM,-98.3588,30.5271,333,0
DZB,4:55:00AM,-98.3588,30.5271,333,0
DZB,5:55:00AM,-98.3588,30.5271,333,0
DZB,6:55:00AM,-98.3588,30.5271,333,0
DZB,7:55:00AM,-98.3588,30.5271,333,0.01
DZB,8:55:00AM,-98.3588,30.5271,333,0.03
DZB,9:55:00AM,-98.3588,30.5271,333,0.03
DZB,10:55:00AM,-98.3588,30.5271,333,0
DZB,11:55:00AM,-98.3588,30.5271,333,0
DZB,12:55:00PM,-98.3588,30.5271,333,0
DZB,1:55:00PM,-98.3588,30.5271,333,0
DZB,2:55:00PM,-98.3588,30.5271,333,0
DZB,3:55:00PM,-98.3588,30.5271,333,0
DZB,4:55:00PM,-98.3588,30.5271,333,0
DZB,5:55:00PM,-98.3588,30.5271,333,0
DZB,6:55:00PM,-98.3588,30.5271,333,0
DZB,7:55:00PM,-98.3588,30.5271,333,0
DZB,8:55:00PM,-98.3588,30.5271,333,0
DZB,9:55:00PM,-98.3588,30.5271,333,0
DZB,10:55:00PM,-98.3588,30.5271,333,0
DZB,11:55:00PM,-98.3588,30.5271,333,0
