# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2024-04-24 17:00:16 -04:00	(nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08158970 Williamson Ck at Jimmy Clay Rd, Austin, TX
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 08158970
#    TS_ID       Parameter Description
#    141379      00065     Gage height, feet, [15-Minute Updates]
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	141379_00065	141379_00065_cd
5s	15s	20d	6s	14n	10s
USGS	08158970	2013-10-30 19:00	CDT	6.57	A
USGS	08158970	2013-10-30 19:05	CDT	6.57	A
USGS	08158970	2013-10-30 19:10	CDT	6.57	A
USGS	08158970	2013-10-30 19:15	CDT	6.58	A
USGS	08158970	2013-10-30 19:20	CDT	6.58	A
USGS	08158970	2013-10-30 19:25	CDT	6.58	A
USGS	08158970	2013-10-30 19:30	CDT	6.58	A
USGS	08158970	2013-10-30 19:35	CDT	6.59	A
USGS	08158970	2013-10-30 19:40	CDT	6.59	A
USGS	08158970	2013-10-30 19:45	CDT	6.59	A
USGS	08158970	2013-10-30 19:50	CDT	6.59	A
USGS	08158970	2013-10-30 19:55	CDT	6.59	A
USGS	08158970	2013-10-30 20:00	CDT	6.59	A
USGS	08158970	2013-10-30 20:05	CDT	6.60	A
USGS	08158970	2013-10-30 20:10	CDT	6.60	A
USGS	08158970	2013-10-30 20:15	CDT	6.60	A
USGS	08158970	2013-10-30 20:20	CDT	6.60	A
USGS	08158970	2013-10-30 20:25	CDT	6.60	A
USGS	08158970	2013-10-30 20:30	CDT	6.60	A
USGS	08158970	2013-10-30 20:35	CDT	6.60	A
USGS	08158970	2013-10-30 20:40	CDT	6.60	A
USGS	08158970	2013-10-30 20:45	CDT	6.60	A
USGS	08158970	2013-10-30 20:50	CDT	6.60	A
USGS	08158970	2013-10-30 20:55	CDT	6.60	A
USGS	08158970	2013-10-30 21:00	CDT	6.60	A
USGS	08158970	2013-10-30 21:05	CDT	6.60	A
USGS	08158970	2013-10-30 21:10	CDT	6.60	A
USGS	08158970	2013-10-30 21:15	CDT	6.60	A
USGS	08158970	2013-10-30 21:20	CDT	6.60	A
USGS	08158970	2013-10-30 21:25	CDT	6.60	A
USGS	08158970	2013-10-30 21:30	CDT	6.60	A
USGS	08158970	2013-10-30 21:35	CDT	6.60	A
USGS	08158970	2013-10-30 21:40	CDT	6.60	A
USGS	08158970	2013-10-30 21:45	CDT	6.60	A
USGS	08158970	2013-10-30 21:50	CDT	6.60	A
USGS	08158970	2013-10-30 21:55	CDT	6.59	A
USGS	08158970	2013-10-30 22:00	CDT	6.59	A
USGS	08158970	2013-10-30 22:05	CDT	6.59	A
USGS	08158970	2013-10-30 22:10	CDT	6.59	A
USGS	08158970	2013-10-30 22:15	CDT	6.59	A
USGS	08158970	2013-10-30 22:20	CDT	6.59	A
USGS	08158970	2013-10-30 22:25	CDT	6.59	A
USGS	08158970	2013-10-30 22:30	CDT	6.59	A
USGS	08158970	2013-10-30 22:35	CDT	6.59	A
USGS	08158970	2013-10-30 22:40	CDT	6.59	A
USGS	08158970	2013-10-30 22:45	CDT	6.59	A
USGS	08158970	2013-10-30 22:50	CDT	6.59	A
USGS	08158970	2013-10-30 22:55	CDT	6.59	A
USGS	08158970	2013-10-30 23:00	CDT	6.59	A
USGS	08158970	2013-10-30 23:05	CDT	6.58	A
USGS	08158970	2013-10-30 23:10	CDT	6.58	A
USGS	08158970	2013-10-30 23:15	CDT	6.58	A
USGS	08158970	2013-10-30 23:20	CDT	6.58	A
USGS	08158970	2013-10-30 23:25	CDT	6.58	A
USGS	08158970	2013-10-30 23:30	CDT	6.58	A
USGS	08158970	2013-10-30 23:35	CDT	6.58	A
USGS	08158970	2013-10-30 23:40	CDT	6.58	A
USGS	08158970	2013-10-30 23:45	CDT	6.58	A
USGS	08158970	2013-10-30 23:50	CDT	6.58	A
USGS	08158970	2013-10-30 23:55	CDT	6.58	A
USGS	08158970	2013-10-31 00:00	CDT	6.58	A
USGS	08158970	2013-10-31 00:05	CDT	6.58	A
USGS	08158970	2013-10-31 00:10	CDT	6.58	A
USGS	08158970	2013-10-31 00:15	CDT	6.58	A
USGS	08158970	2013-10-31 00:20	CDT	6.59	A
USGS	08158970	2013-10-31 00:25	CDT	6.59	A
USGS	08158970	2013-10-31 00:30	CDT	6.60	A
USGS	08158970	2013-10-31 00:35	CDT	6.62	A
USGS	08158970	2013-10-31 00:40	CDT	6.70	A
USGS	08158970	2013-10-31 00:45	CDT	6.98	A
USGS	08158970	2013-10-31 00:50	CDT	7.59	A
USGS	08158970	2013-10-31 00:55	CDT	8.13	A
USGS	08158970	2013-10-31 01:00	CDT	8.05	A
USGS	08158970	2013-10-31 01:05	CDT	7.91	A
USGS	08158970	2013-10-31 01:10	CDT	8.52	A
USGS	08158970	2013-10-31 01:15	CDT	9.24	A
USGS	08158970	2013-10-31 01:20	CDT	9.87	A
USGS	08158970	2013-10-31 01:25	CDT	10.42	A
USGS	08158970	2013-10-31 01:30	CDT	10.93	A
USGS	08158970	2013-10-31 01:35	CDT	11.43	A
USGS	08158970	2013-10-31 01:40	CDT	11.90	A
USGS	08158970	2013-10-31 01:45	CDT	12.37	A
USGS	08158970	2013-10-31 01:50	CDT	12.81	A
USGS	08158970	2013-10-31 01:55	CDT	13.23	A
USGS	08158970	2013-10-31 02:00	CDT	13.65	A
USGS	08158970	2013-10-31 02:05	CDT	14.05	A
USGS	08158970	2013-10-31 02:10	CDT	14.43	A
USGS	08158970	2013-10-31 02:15	CDT	14.79	A
USGS	08158970	2013-10-31 02:20	CDT	15.20	A
USGS	08158970	2013-10-31 02:25	CDT	15.51	A
USGS	08158970	2013-10-31 02:30	CDT	15.65	A
USGS	08158970	2013-10-31 02:35	CDT	15.78	A
USGS	08158970	2013-10-31 02:40	CDT	15.92	A
USGS	08158970	2013-10-31 02:45	CDT	15.99	A
USGS	08158970	2013-10-31 02:50	CDT	16.11	A
USGS	08158970	2013-10-31 02:55	CDT	16.21	A
USGS	08158970	2013-10-31 03:00	CDT	16.21	A
USGS	08158970	2013-10-31 03:05	CDT	16.41	A
USGS	08158970	2013-10-31 03:10	CDT	16.53	A
USGS	08158970	2013-10-31 03:15	CDT	16.58	A
USGS	08158970	2013-10-31 03:20	CDT	16.58	A
USGS	08158970	2013-10-31 03:25	CDT	16.88	A
USGS	08158970	2013-10-31 03:30	CDT	17.00	A
USGS	08158970	2013-10-31 03:35	CDT	17.07	A
USGS	08158970	2013-10-31 03:40	CDT	17.15	A
USGS	08158970	2013-10-31 03:45	CDT	17.22	A
USGS	08158970	2013-10-31 03:50	CDT	17.32	A
USGS	08158970	2013-10-31 03:55	CDT	17.43	A
USGS	08158970	2013-10-31 04:00	CDT	17.53	A
USGS	08158970	2013-10-31 04:05	CDT	17.66	A
USGS	08158970	2013-10-31 04:10	CDT	17.80	A
USGS	08158970	2013-10-31 04:15	CDT	17.96	A
USGS	08158970	2013-10-31 04:20	CDT	18.13	A
USGS	08158970	2013-10-31 04:25	CDT	18.25	A
USGS	08158970	2013-10-31 04:30	CDT	18.38	A
USGS	08158970	2013-10-31 04:35	CDT	18.51	A
USGS	08158970	2013-10-31 04:40	CDT	18.69	A
USGS	08158970	2013-10-31 04:45	CDT	18.87	A
USGS	08158970	2013-10-31 04:50	CDT	18.87	A
USGS	08158970	2013-10-31 04:55	CDT	19.12	A
USGS	08158970	2013-10-31 05:00	CDT	19.22	A
USGS	08158970	2013-10-31 05:05	CDT	19.33	A
USGS	08158970	2013-10-31 05:10	CDT	19.41	A
