# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2024-04-12 13:09:26 -04:00	(nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08158000 Colorado Rv at Austin, TX
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 08158000
#    TS_ID       Parameter Description
#    141309      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	141309_00065	141309_00065_cd
5s	15s	20d	6s	14n	10s
USGS	08158000	2013-10-30 00:00	CDT	12.46	A
USGS	08158000	2013-10-30 00:12	CDT	12.46	A
USGS	08158000	2013-10-30 00:28	CDT	12.46	A
USGS	08158000	2013-10-30 00:42	CDT	12.46	A
USGS	08158000	2013-10-30 00:57	CDT	12.46	A
USGS	08158000	2013-10-30 01:12	CDT	12.46	A
USGS	08158000	2013-10-30 01:28	CDT	12.46	A
USGS	08158000	2013-10-30 01:43	CDT	12.46	A
USGS	08158000	2013-10-30 01:57	CDT	12.46	A
USGS	08158000	2013-10-30 02:12	CDT	12.46	A
USGS	08158000	2013-10-30 02:28	CDT	12.46	A
USGS	08158000	2013-10-30 02:43	CDT	12.45	A
USGS	08158000	2013-10-30 02:57	CDT	12.45	A
USGS	08158000	2013-10-30 03:13	CDT	12.45	A
USGS	08158000	2013-10-30 03:27	CDT	12.45	A
USGS	08158000	2013-10-30 03:42	CDT	12.45	A
USGS	08158000	2013-10-30 03:57	CDT	12.45	A
USGS	08158000	2013-10-30 04:12	CDT	12.45	A
USGS	08158000	2013-10-30 04:27	CDT	12.45	A
USGS	08158000	2013-10-30 04:42	CDT	12.45	A
USGS	08158000	2013-10-30 04:57	CDT	12.45	A
USGS	08158000	2013-10-30 05:12	CDT	12.45	A
USGS	08158000	2013-10-30 05:28	CDT	12.45	A
USGS	08158000	2013-10-30 05:43	CDT	12.45	A
USGS	08158000	2013-10-30 05:58	CDT	12.45	A
USGS	08158000	2013-10-30 06:12	CDT	12.45	A
USGS	08158000	2013-10-30 06:27	CDT	12.45	A
USGS	08158000	2013-10-30 06:42	CDT	12.45	A
USGS	08158000	2013-10-30 06:57	CDT	12.45	A
USGS	08158000	2013-10-30 07:12	CDT	12.45	A
USGS	08158000	2013-10-30 07:27	CDT	12.45	A
USGS	08158000	2013-10-30 07:42	CDT	12.45	A
USGS	08158000	2013-10-30 07:57	CDT	12.45	A
USGS	08158000	2013-10-30 08:12	CDT	12.44	A
USGS	08158000	2013-10-30 08:27	CDT	12.44	A
USGS	08158000	2013-10-30 08:42	CDT	12.44	A
USGS	08158000	2013-10-30 08:57	CDT	12.44	A
USGS	08158000	2013-10-30 09:12	CDT	12.44	A
USGS	08158000	2013-10-30 09:27	CDT	12.42	A
USGS	08158000	2013-10-30 09:42	CDT	12.43	A
USGS	08158000	2013-10-30 09:58	CDT	12.42	A
USGS	08158000	2013-10-30 10:12	CDT	12.42	A
USGS	08158000	2013-10-30 10:27	CDT	12.42	A
USGS	08158000	2013-10-30 10:42	CDT	12.42	A
USGS	08158000	2013-10-30 10:57	CDT	12.43	A
USGS	08158000	2013-10-30 11:12	CDT	12.42	A
USGS	08158000	2013-10-30 11:27	CDT	12.42	A
USGS	08158000	2013-10-30 11:42	CDT	12.42	A
USGS	08158000	2013-10-30 11:57	CDT	12.41	A
USGS	08158000	2013-10-30 12:12	CDT	12.42	A
USGS	08158000	2013-10-30 12:27	CDT	12.42	A
USGS	08158000	2013-10-30 12:42	CDT	12.42	A
USGS	08158000	2013-10-30 12:57	CDT	12.42	A
USGS	08158000	2013-10-30 13:12	CDT	12.43	A
USGS	08158000	2013-10-30 13:27	CDT	12.40	A
USGS	08158000	2013-10-30 13:42	CDT	12.40	A
USGS	08158000	2013-10-30 13:58	CDT	12.41	A
USGS	08158000	2013-10-30 14:12	CDT	12.41	A
USGS	08158000	2013-10-30 14:27	CDT	12.42	A
USGS	08158000	2013-10-30 14:42	CDT	12.43	A
USGS	08158000	2013-10-30 14:58	CDT	12.43	A
USGS	08158000	2013-10-30 15:12	CDT	12.45	A
USGS	08158000	2013-10-30 15:27	CDT	12.47	A
USGS	08158000	2013-10-30 15:43	CDT	12.48	A
