# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2024-04-24 17:09:48 -04:00	(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08158600 Walnut Ck at Webberville Rd, Austin, TX
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 08158600
#    TS_ID       Parameter Description
#    141333      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	141333_00065	141333_00065_cd
5s	15s	20d	6s	14n	10s
USGS	08158600	2013-10-30 00:00	CDT	4.14	A
USGS	08158600	2013-10-30 00:05	CDT	4.14	A
USGS	08158600	2013-10-30 00:10	CDT	4.14	A
USGS	08158600	2013-10-30 00:15	CDT	4.14	A
USGS	08158600	2013-10-30 00:20	CDT	4.14	A
USGS	08158600	2013-10-30 00:25	CDT	4.14	A
USGS	08158600	2013-10-30 00:30	CDT	4.14	A
USGS	08158600	2013-10-30 00:35	CDT	4.14	A
USGS	08158600	2013-10-30 00:40	CDT	4.14	A
USGS	08158600	2013-10-30 00:45	CDT	4.14	A
USGS	08158600	2013-10-30 00:50	CDT	4.14	A
USGS	08158600	2013-10-30 00:55	CDT	4.14	A
USGS	08158600	2013-10-30 01:00	CDT	4.14	A
USGS	08158600	2013-10-30 01:05	CDT	4.14	A
USGS	08158600	2013-10-30 01:10	CDT	4.14	A
USGS	08158600	2013-10-30 01:15	CDT	4.14	A
USGS	08158600	2013-10-30 01:20	CDT	4.14	A
USGS	08158600	2013-10-30 01:25	CDT	4.14	A
USGS	08158600	2013-10-30 01:30	CDT	4.14	A
USGS	08158600	2013-10-30 01:35	CDT	4.14	A
USGS	08158600	2013-10-30 01:40	CDT	4.14	A
USGS	08158600	2013-10-30 01:45	CDT	4.14	A
USGS	08158600	2013-10-30 01:50	CDT	4.14	A
USGS	08158600	2013-10-30 01:55	CDT	4.14	A
USGS	08158600	2013-10-30 02:00	CDT	4.14	A
USGS	08158600	2013-10-30 02:05	CDT	4.14	A
USGS	08158600	2013-10-30 02:10	CDT	4.14	A
USGS	08158600	2013-10-30 02:15	CDT	4.14	A
USGS	08158600	2013-10-30 02:20	CDT	4.14	A
USGS	08158600	2013-10-30 02:25	CDT	4.14	A
USGS	08158600	2013-10-30 02:30	CDT	4.14	A
USGS	08158600	2013-10-30 02:35	CDT	4.14	A
USGS	08158600	2013-10-30 02:40	CDT	4.14	A
USGS	08158600	2013-10-30 02:45	CDT	4.14	A
USGS	08158600	2013-10-30 02:50	CDT	4.14	A
USGS	08158600	2013-10-30 02:55	CDT	4.14	A
USGS	08158600	2013-10-30 03:00	CDT	4.14	A
USGS	08158600	2013-10-30 03:05	CDT	4.14	A
USGS	08158600	2013-10-30 03:10	CDT	4.14	A
USGS	08158600	2013-10-30 03:15	CDT	4.14	A
USGS	08158600	2013-10-30 03:20	CDT	4.14	A
USGS	08158600	2013-10-30 03:25	CDT	4.14	A
USGS	08158600	2013-10-30 03:30	CDT	4.14	A
USGS	08158600	2013-10-30 03:35	CDT	4.14	A
USGS	08158600	2013-10-30 03:40	CDT	4.14	A
USGS	08158600	2013-10-30 03:45	CDT	4.14	A
USGS	08158600	2013-10-30 03:50	CDT	4.14	A
USGS	08158600	2013-10-30 03:55	CDT	4.14	A
USGS	08158600	2013-10-30 04:00	CDT	4.14	A
USGS	08158600	2013-10-30 04:05	CDT	4.14	A
USGS	08158600	2013-10-30 04:10	CDT	4.14	A
USGS	08158600	2013-10-30 04:15	CDT	4.14	A
USGS	08158600	2013-10-30 04:20	CDT	4.14	A
USGS	08158600	2013-10-30 04:25	CDT	4.14	A
USGS	08158600	2013-10-30 04:30	CDT	4.14	A
USGS	08158600	2013-10-30 04:35	CDT	4.14	A
USGS	08158600	2013-10-30 04:40	CDT	4.15	A
USGS	08158600	2013-10-30 04:45	CDT	4.14	A
USGS	08158600	2013-10-30 04:50	CDT	4.14	A
USGS	08158600	2013-10-30 04:55	CDT	4.14	A
USGS	08158600	2013-10-30 05:00	CDT	4.14	A
USGS	08158600	2013-10-30 05:05	CDT	4.14	A
USGS	08158600	2013-10-30 05:10	CDT	4.14	A
USGS	08158600	2013-10-30 05:15	CDT	4.14	A
USGS	08158600	2013-10-30 05:20	CDT	4.14	A
USGS	08158600	2013-10-30 05:25	CDT	4.14	A
USGS	08158600	2013-10-30 05:30	CDT	4.14	A
USGS	08158600	2013-10-30 05:35	CDT	4.14	A
USGS	08158600	2013-10-30 05:40	CDT	4.14	A
USGS	08158600	2013-10-30 05:45	CDT	4.14	A
USGS	08158600	2013-10-30 05:50	CDT	4.14	A
USGS	08158600	2013-10-30 05:55	CDT	4.14	A
USGS	08158600	2013-10-30 06:00	CDT	4.14	A
USGS	08158600	2013-10-30 06:05	CDT	4.14	A
USGS	08158600	2013-10-30 06:10	CDT	4.14	A
USGS	08158600	2013-10-30 06:15	CDT	4.14	A
USGS	08158600	2013-10-30 06:20	CDT	4.14	A
USGS	08158600	2013-10-30 06:25	CDT	4.14	A
USGS	08158600	2013-10-30 06:30	CDT	4.14	A
USGS	08158600	2013-10-30 06:35	CDT	4.14	A
USGS	08158600	2013-10-30 06:40	CDT	4.14	A
USGS	08158600	2013-10-30 06:45	CDT	4.14	A
USGS	08158600	2013-10-30 06:50	CDT	4.14	A
USGS	08158600	2013-10-30 06:55	CDT	4.14	A
USGS	08158600	2013-10-30 07:00	CDT	4.14	A
USGS	08158600	2013-10-30 07:05	CDT	4.15	A
USGS	08158600	2013-10-30 07:10	CDT	4.15	A
USGS	08158600	2013-10-30 07:15	CDT	4.15	A
USGS	08158600	2013-10-30 07:20	CDT	4.15	A
USGS	08158600	2013-10-30 07:25	CDT	4.15	A
USGS	08158600	2013-10-30 07:30	CDT	4.16	A
USGS	08158600	2013-10-30 07:35	CDT	4.16	A
USGS	08158600	2013-10-30 07:40	CDT	4.16	A
USGS	08158600	2013-10-30 07:45	CDT	4.16	A
USGS	08158600	2013-10-30 07:50	CDT	4.16	A
USGS	08158600	2013-10-30 07:55	CDT	4.16	A
USGS	08158600	2013-10-30 08:00	CDT	4.16	A
USGS	08158600	2013-10-30 08:05	CDT	4.18	A
USGS	08158600	2013-10-30 08:10	CDT	4.21	A
USGS	08158600	2013-10-30 08:15	CDT	4.27	A
USGS	08158600	2013-10-30 08:20	CDT	4.32	A
USGS	08158600	2013-10-30 08:25	CDT	4.35	A
